0.00.054.622 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.297.651 W srv  llama_server: -----------------
0.00.297.653 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.297.653 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.297.654 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.297.654 W srv  llama_server: -----------------
0.00.298.904 I srv    load_model: loading model '/mnt/ai/models/qwen36-27b-mtp-gguf/Qwen3.6-27B-MTP-Q5_K_M.gguf'
0.01.092.063 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
0.02.943.698 I cmn          init: llama threadpool init, n_threads = 12
0.02.993.940 I common_speculative_init_result: creating MTP draft context against the target model '/mnt/ai/models/qwen36-27b-mtp-gguf/Qwen3.6-27B-MTP-Q5_K_M.gguf'
0.03.047.192 I srv    load_model: initializing, n_slots = 6, n_ctx_slot = 16384, kv_unified = 'false'
0.03.082.748 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.082.792 I srv  llama_server: model loaded
0.03.082.796 I srv  llama_server: listening on http://127.0.0.1:8151
0.06.009.516 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = -1
0.06.009.609 I slot launch_slot_: id  5 | task 0 | processing task, is_child = 0
0.09.151.719 I slot print_timing: id  5 | task 0 | n_gen =    239, tg =  78.82 t/s, tg_3s =  79.15 t/s
0.12.152.629 I slot print_timing: id  5 | task 0 | n_gen =    455, tg =  75.41 t/s, tg_3s =  71.98 t/s
0.15.171.685 I slot print_timing: id  5 | task 0 | n_gen =    722, tg =  79.76 t/s, tg_3s =  88.44 t/s
0.18.172.872 I slot print_timing: id  5 | task 0 | n_gen =    970, tg =  80.48 t/s, tg_3s =  82.63 t/s
0.21.179.096 I slot print_timing: id  5 | task 0 | n_gen =   1200, tg =  79.68 t/s, tg_3s =  76.51 t/s
0.24.202.457 I slot print_timing: id  5 | task 0 | n_gen =   1463, tg =  80.91 t/s, tg_3s =  86.99 t/s
0.27.236.820 I slot print_timing: id  5 | task 0 | n_gen =   1728, tg =  81.83 t/s, tg_3s =  87.33 t/s
0.30.246.993 I slot print_timing: id  5 | task 0 | n_gen =   1986, tg =  82.32 t/s, tg_3s =  85.71 t/s
0.33.255.299 I slot print_timing: id  5 | task 0 | n_gen =   2227, tg =  82.07 t/s, tg_3s =  80.11 t/s
0.36.275.666 I slot print_timing: id  5 | task 0 | n_gen =   2453, tg =  81.34 t/s, tg_3s =  74.83 t/s
0.39.308.597 I slot print_timing: id  5 | task 0 | n_gen =   2710, tg =  81.65 t/s, tg_3s =  84.74 t/s
0.42.310.667 I slot print_timing: id  5 | task 0 | n_gen =   2961, tg =  81.82 t/s, tg_3s =  83.61 t/s
0.45.319.258 I slot print_timing: id  5 | task 0 | n_gen =   3227, tg =  82.32 t/s, tg_3s =  88.41 t/s
0.48.328.776 I slot print_timing: id  5 | task 0 | n_gen =   3479, tg =  82.42 t/s, tg_3s =  83.73 t/s
0.51.344.961 I slot print_timing: id  5 | task 0 | n_gen =   3728, tg =  82.43 t/s, tg_3s =  82.55 t/s
0.54.370.958 I slot print_timing: id  5 | task 0 | n_gen =   3976, tg =  82.40 t/s, tg_3s =  81.96 t/s
0.57.402.761 I slot print_timing: id  5 | task 0 | n_gen =   4220, tg =  82.29 t/s, tg_3s =  80.48 t/s
1.00.406.705 I slot print_timing: id  5 | task 0 | n_gen =   4487, tg =  82.65 t/s, tg_3s =  88.88 t/s
1.03.433.324 I slot print_timing: id  5 | task 0 | n_gen =   4772, tg =  83.26 t/s, tg_3s =  94.16 t/s
1.06.464.872 I slot print_timing: id  5 | task 0 | n_gen =   5071, tg =  84.03 t/s, tg_3s =  98.63 t/s
1.09.266.056 I slot print_timing: id  5 | task 0 | prompt eval time =     122.65 ms /    64 tokens (    1.92 ms per token,   521.81 tokens per second)
1.09.266.061 I slot print_timing: id  5 | task 0 |        eval time =   63133.74 ms /  5351 tokens (   11.80 ms per token,    84.74 tokens per second)
1.09.266.061 I slot print_timing: id  5 | task 0 |       total time =   63256.39 ms /  5415 tokens
1.09.266.066 I slot print_timing: id  5 | task 0 |    graphs reused =       1906
1.09.266.070 I slot print_timing: id  5 | task 0 | draft acceptance = 0.29640 ( 3427 accepted / 11562 generated), mean len =  2.78
1.09.266.121 I slot      release: id  5 | task 0 | stop processing: n_tokens = 5418, truncated = 0
1.14.830.082 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = -1
1.14.830.137 I slot launch_slot_: id  4 | task 1930 | processing task, is_child = 0
1.14.948.706 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.14.948.772 I slot launch_slot_: id  3 | task 1931 | processing task, is_child = 0
1.18.143.199 I slot print_timing: id  3 | task 1931 | n_gen =    243, tg =  79.99 t/s, tg_3s =  80.32 t/s
1.18.143.802 I slot print_timing: id  4 | task 1930 | n_gen =    236, tg =  77.68 t/s, tg_3s =  78.01 t/s
1.21.175.021 I slot print_timing: id  3 | task 1931 | n_gen =    463, tg =  76.27 t/s, tg_3s =  72.56 t/s
1.21.175.736 I slot print_timing: id  4 | task 1930 | n_gen =    442, tg =  72.81 t/s, tg_3s =  67.94 t/s
1.24.198.885 I slot print_timing: id  3 | task 1931 | n_gen =    732, tg =  80.50 t/s, tg_3s =  88.96 t/s
1.24.199.400 I slot print_timing: id  4 | task 1930 | n_gen =    678, tg =  74.55 t/s, tg_3s =  78.05 t/s
1.27.225.807 I slot print_timing: id  3 | task 1931 | n_gen =    979, tg =  80.77 t/s, tg_3s =  81.60 t/s
1.27.226.593 I slot print_timing: id  4 | task 1930 | n_gen =    904, tg =  74.58 t/s, tg_3s =  74.66 t/s
1.30.255.382 I slot print_timing: id  3 | task 1931 | n_gen =   1240, tg =  81.85 t/s, tg_3s =  86.15 t/s
1.30.256.117 I slot print_timing: id  4 | task 1930 | n_gen =   1142, tg =  75.38 t/s, tg_3s =  78.56 t/s
1.33.263.148 I slot print_timing: id  3 | task 1931 | n_gen =   1479, tg =  81.45 t/s, tg_3s =  79.46 t/s
1.33.264.360 I slot print_timing: id  4 | task 1930 | n_gen =   1388, tg =  76.44 t/s, tg_3s =  81.78 t/s
1.36.288.130 I slot print_timing: id  3 | task 1931 | n_gen =   1708, tg =  80.63 t/s, tg_3s =  75.70 t/s
1.36.289.005 I slot print_timing: id  4 | task 1930 | n_gen =   1652, tg =  77.99 t/s, tg_3s =  87.28 t/s
1.39.293.151 I slot print_timing: id  3 | task 1931 | n_gen =   1973, tg =  81.57 t/s, tg_3s =  88.19 t/s
1.39.294.356 I slot print_timing: id  4 | task 1930 | n_gen =   1917, tg =  79.25 t/s, tg_3s =  88.18 t/s
1.42.323.747 I slot print_timing: id  3 | task 1931 | n_gen =   2225, tg =  81.75 t/s, tg_3s =  83.15 t/s
1.42.324.980 I slot print_timing: id  4 | task 1930 | n_gen =   2186, tg =  80.31 t/s, tg_3s =  88.76 t/s
1.45.324.531 I slot print_timing: id  3 | task 1931 | n_gen =   2450, tg =  81.07 t/s, tg_3s =  74.98 t/s
1.45.325.113 I slot print_timing: id  4 | task 1930 | n_gen =   2444, tg =  80.88 t/s, tg_3s =  86.00 t/s
1.48.344.264 I slot print_timing: id  3 | task 1931 | n_gen =   2718, tg =  81.77 t/s, tg_3s =  88.75 t/s
1.48.344.870 I slot print_timing: id  4 | task 1930 | n_gen =   2710, tg =  81.53 t/s, tg_3s =  88.09 t/s
1.51.366.812 I slot print_timing: id  3 | task 1931 | n_gen =   2992, tg =  82.51 t/s, tg_3s =  90.65 t/s
1.51.367.188 I slot print_timing: id  4 | task 1930 | n_gen =   2979, tg =  82.15 t/s, tg_3s =  89.00 t/s
1.54.393.426 I slot print_timing: id  3 | task 1931 | n_gen =   3236, tg =  82.37 t/s, tg_3s =  80.62 t/s
1.54.394.012 I slot print_timing: id  4 | task 1930 | n_gen =   3254, tg =  82.83 t/s, tg_3s =  90.85 t/s
1.57.413.282 I slot print_timing: id  3 | task 1931 | n_gen =   3510, tg =  82.96 t/s, tg_3s =  90.73 t/s
1.57.414.026 I slot print_timing: id  4 | task 1930 | n_gen =   3516, tg =  83.11 t/s, tg_3s =  86.75 t/s
2.00.431.634 I slot print_timing: id  3 | task 1931 | n_gen =   3758, tg =  82.91 t/s, tg_3s =  82.16 t/s
2.00.432.823 I slot print_timing: id  4 | task 1930 | n_gen =   3804, tg =  83.92 t/s, tg_3s =  95.40 t/s
2.03.453.619 I slot print_timing: id  3 | task 1931 | n_gen =   4014, tg =  83.02 t/s, tg_3s =  84.71 t/s
2.03.454.064 I slot print_timing: id  4 | task 1930 | n_gen =   4090, tg =  84.60 t/s, tg_3s =  94.66 t/s
2.06.478.067 I slot print_timing: id  3 | task 1931 | n_gen =   4258, tg =  82.89 t/s, tg_3s =  80.68 t/s
2.06.478.956 I slot print_timing: id  4 | task 1930 | n_gen =   4376, tg =  85.18 t/s, tg_3s =  94.55 t/s
2.09.507.895 I slot print_timing: id  3 | task 1931 | n_gen =   4516, tg =  83.01 t/s, tg_3s =  85.15 t/s
2.09.509.154 I slot print_timing: id  4 | task 1930 | n_gen =   4651, tg =  85.49 t/s, tg_3s =  90.75 t/s
2.12.519.207 I slot print_timing: id  3 | task 1931 | n_gen =   4840, tg =  84.30 t/s, tg_3s = 107.59 t/s
2.12.519.969 I slot print_timing: id  4 | task 1930 | n_gen =   4931, tg =  85.89 t/s, tg_3s =  93.00 t/s
2.15.522.386 I slot print_timing: id  3 | task 1931 | n_gen =   5092, tg =  84.28 t/s, tg_3s =  83.91 t/s
2.15.522.845 I slot print_timing: id  4 | task 1930 | n_gen =   5197, tg =  86.02 t/s, tg_3s =  88.58 t/s
2.18.541.863 I slot print_timing: id  3 | task 1931 | n_gen =   5349, tg =  84.32 t/s, tg_3s =  85.11 t/s
2.18.542.626 I slot print_timing: id  4 | task 1930 | n_gen =   5473, tg =  86.28 t/s, tg_3s =  91.40 t/s
2.21.563.974 I slot print_timing: id  3 | task 1931 | n_gen =   5611, tg =  84.43 t/s, tg_3s =  86.69 t/s
2.21.565.017 I slot print_timing: id  4 | task 1930 | n_gen =   5753, tg =  86.57 t/s, tg_3s =  92.64 t/s
2.24.594.842 I slot print_timing: id  3 | task 1931 | n_gen =   5878, tg =  84.59 t/s, tg_3s =  88.09 t/s
2.24.595.445 I slot print_timing: id  4 | task 1930 | n_gen =   6027, tg =  86.73 t/s, tg_3s =  90.42 t/s
2.27.595.438 I slot print_timing: id  3 | task 1931 | n_gen =   6240, tg =  86.08 t/s, tg_3s = 120.64 t/s
2.27.595.857 I slot print_timing: id  4 | task 1930 | n_gen =   6341, tg =  87.48 t/s, tg_3s = 104.65 t/s
2.30.616.530 I slot print_timing: id  3 | task 1931 | n_gen =   6578, tg =  87.11 t/s, tg_3s = 111.88 t/s
2.30.617.759 I slot print_timing: id  4 | task 1930 | n_gen =   6604, tg =  87.46 t/s, tg_3s =  87.03 t/s
2.31.059.422 I slot print_timing: id  3 | task 1931 | prompt eval time =     168.82 ms /    62 tokens (    2.72 ms per token,   367.26 tokens per second)
2.31.059.425 I slot print_timing: id  3 | task 1931 |        eval time =   75941.55 ms /  6624 tokens (   11.47 ms per token,    87.21 tokens per second)
2.31.059.425 I slot print_timing: id  3 | task 1931 |       total time =   76110.37 ms /  6686 tokens
2.31.059.427 I slot print_timing: id  3 | task 1931 |    graphs reused =       4185
2.31.059.431 I slot print_timing: id  3 | task 1931 | draft acceptance = 0.31230 ( 4321 accepted / 13836 generated), mean len =  2.87
2.31.059.469 I slot      release: id  3 | task 1931 | stop processing: n_tokens = 6689, truncated = 0
2.33.634.401 I slot print_timing: id  4 | task 1930 | n_gen =   6893, tg =  87.78 t/s, tg_3s =  95.80 t/s
2.36.643.611 I slot print_timing: id  4 | task 1930 | n_gen =   7202, tg =  88.33 t/s, tg_3s = 102.68 t/s
2.38.565.027 I slot print_timing: id  4 | task 1930 | prompt eval time =     169.44 ms /    61 tokens (    2.78 ms per token,   360.02 tokens per second)
2.38.565.030 I slot print_timing: id  4 | task 1930 |        eval time =   83446.52 ms /  7417 tokens (   11.25 ms per token,    88.87 tokens per second)
2.38.565.030 I slot print_timing: id  4 | task 1930 |       total time =   83615.96 ms /  7478 tokens
2.38.565.032 I slot print_timing: id  4 | task 1930 |    graphs reused =       4408
2.38.565.036 I slot print_timing: id  4 | task 1930 | draft acceptance = 0.32129 ( 4883 accepted / 15198 generated), mean len =  2.93
2.38.565.072 I slot      release: id  4 | task 1930 | stop processing: n_tokens = 7477, truncated = 0
2.44.176.508 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
2.44.176.588 I slot launch_slot_: id  2 | task 4467 | processing task, is_child = 0
2.44.423.590 I slot get_availabl: id  5 | task -1 | selected slot by LCP similarity, f_sim_best = 0.117 (> 0.100 thold), f_keep = 0.001
2.44.423.894 I slot launch_slot_: id  5 | task 4468 | processing task, is_child = 0
2.44.424.438 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
2.44.424.457 I slot launch_slot_: id  1 | task 4469 | processing task, is_child = 0
2.44.425.001 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.44.425.019 I slot launch_slot_: id  0 | task 4470 | processing task, is_child = 0
2.47.787.111 I slot print_timing: id  0 | task 4470 | n_gen =    127, tg =  41.59 t/s, tg_3s =  41.92 t/s
2.47.787.903 I slot print_timing: id  2 | task 4467 | n_gen =    107, tg =  34.99 t/s, tg_3s =  35.32 t/s
2.47.788.441 I slot print_timing: id  5 | task 4468 | n_gen =    112, tg =  36.64 t/s, tg_3s =  36.97 t/s
2.47.858.748 I slot print_timing: id  1 | task 4469 | n_gen =    101, tg =  32.25 t/s, tg_3s =  32.57 t/s
2.50.798.545 I slot print_timing: id  0 | task 4470 | n_gen =    235, tg =  38.73 t/s, tg_3s =  35.86 t/s
2.50.800.013 I slot print_timing: id  2 | task 4467 | n_gen =    224, tg =  36.91 t/s, tg_3s =  38.84 t/s
2.50.800.503 I slot print_timing: id  5 | task 4468 | n_gen =    210, tg =  34.60 t/s, tg_3s =  32.54 t/s
2.50.871.036 I slot print_timing: id  1 | task 4469 | n_gen =    207, tg =  33.70 t/s, tg_3s =  35.19 t/s
2.53.810.885 I slot print_timing: id  0 | task 4470 | n_gen =    335, tg =  36.89 t/s, tg_3s =  33.20 t/s
2.53.812.052 I slot print_timing: id  2 | task 4467 | n_gen =    316, tg =  34.79 t/s, tg_3s =  30.54 t/s
2.53.812.718 I slot print_timing: id  5 | task 4468 | n_gen =    305, tg =  33.58 t/s, tg_3s =  31.54 t/s
2.53.882.928 I slot print_timing: id  1 | task 4469 | n_gen =    309, tg =  33.75 t/s, tg_3s =  33.87 t/s
2.56.819.596 I slot print_timing: id  0 | task 4470 | n_gen =    431, tg =  35.65 t/s, tg_3s =  31.91 t/s
2.56.820.896 I slot print_timing: id  2 | task 4467 | n_gen =    417, tg =  34.49 t/s, tg_3s =  33.57 t/s
2.56.821.421 I slot print_timing: id  5 | task 4468 | n_gen =    421, tg =  34.82 t/s, tg_3s =  38.55 t/s
2.56.892.069 I slot print_timing: id  1 | task 4469 | n_gen =    408, tg =  33.54 t/s, tg_3s =  32.90 t/s
2.59.843.329 I slot print_timing: id  0 | task 4470 | n_gen =    542, tg =  35.86 t/s, tg_3s =  36.71 t/s
2.59.844.463 I slot print_timing: id  2 | task 4467 | n_gen =    519, tg =  34.34 t/s, tg_3s =  33.73 t/s
2.59.845.143 I slot print_timing: id  5 | task 4468 | n_gen =    516, tg =  34.14 t/s, tg_3s =  31.42 t/s
2.59.916.366 I slot print_timing: id  1 | task 4469 | n_gen =    521, tg =  34.30 t/s, tg_3s =  37.36 t/s
3.02.870.924 I slot print_timing: id  0 | task 4470 | n_gen =    661, tg =  36.44 t/s, tg_3s =  39.31 t/s
3.02.871.974 I slot print_timing: id  2 | task 4467 | n_gen =    638, tg =  35.17 t/s, tg_3s =  39.31 t/s
3.02.872.460 I slot print_timing: id  5 | task 4468 | n_gen =    618, tg =  34.06 t/s, tg_3s =  33.69 t/s
3.02.943.009 I slot print_timing: id  1 | task 4469 | n_gen =    630, tg =  34.59 t/s, tg_3s =  36.01 t/s
3.05.900.933 I slot print_timing: id  0 | task 4470 | n_gen =    747, tg =  35.28 t/s, tg_3s =  28.38 t/s
3.05.902.077 I slot print_timing: id  2 | task 4467 | n_gen =    754, tg =  35.61 t/s, tg_3s =  38.28 t/s
3.05.902.777 I slot print_timing: id  5 | task 4468 | n_gen =    730, tg =  34.48 t/s, tg_3s =  36.96 t/s
3.05.973.784 I slot print_timing: id  1 | task 4469 | n_gen =    730, tg =  34.36 t/s, tg_3s =  32.99 t/s
3.08.932.642 I slot print_timing: id  0 | task 4470 | n_gen =    856, tg =  35.37 t/s, tg_3s =  35.95 t/s
3.08.933.667 I slot print_timing: id  2 | task 4467 | n_gen =    857, tg =  35.41 t/s, tg_3s =  33.98 t/s
3.08.934.216 I slot print_timing: id  5 | task 4468 | n_gen =    852, tg =  35.20 t/s, tg_3s =  40.24 t/s
3.09.004.657 I slot print_timing: id  1 | task 4469 | n_gen =    824, tg =  33.94 t/s, tg_3s =  31.01 t/s
3.11.961.698 I slot print_timing: id  0 | task 4470 | n_gen =    951, tg =  34.92 t/s, tg_3s =  31.36 t/s
3.11.962.550 I slot print_timing: id  2 | task 4467 | n_gen =    952, tg =  34.96 t/s, tg_3s =  31.36 t/s
3.11.963.028 I slot print_timing: id  5 | task 4468 | n_gen =    968, tg =  35.55 t/s, tg_3s =  38.30 t/s
3.12.033.518 I slot print_timing: id  1 | task 4469 | n_gen =    912, tg =  33.40 t/s, tg_3s =  29.05 t/s
3.14.996.763 I slot print_timing: id  0 | task 4470 | n_gen =   1051, tg =  34.72 t/s, tg_3s =  32.95 t/s
3.14.997.757 I slot print_timing: id  2 | task 4467 | n_gen =   1069, tg =  35.32 t/s, tg_3s =  38.55 t/s
3.14.998.311 I slot print_timing: id  5 | task 4468 | n_gen =   1084, tg =  35.81 t/s, tg_3s =  38.22 t/s
3.15.069.752 I slot print_timing: id  1 | task 4469 | n_gen =    997, tg =  32.86 t/s, tg_3s =  28.00 t/s
3.18.045.523 I slot print_timing: id  0 | task 4470 | n_gen =   1172, tg =  35.18 t/s, tg_3s =  39.69 t/s
3.18.046.594 I slot print_timing: id  2 | task 4467 | n_gen =   1185, tg =  35.57 t/s, tg_3s =  38.05 t/s
3.18.047.384 I slot print_timing: id  5 | task 4468 | n_gen =   1207, tg =  36.23 t/s, tg_3s =  40.34 t/s
3.18.118.266 I slot print_timing: id  1 | task 4469 | n_gen =   1091, tg =  32.67 t/s, tg_3s =  30.83 t/s
3.21.091.618 I slot print_timing: id  0 | task 4470 | n_gen =   1276, tg =  35.09 t/s, tg_3s =  34.14 t/s
3.21.093.318 I slot print_timing: id  2 | task 4467 | n_gen =   1296, tg =  35.64 t/s, tg_3s =  36.43 t/s
3.21.093.975 I slot print_timing: id  5 | task 4468 | n_gen =   1306, tg =  35.92 t/s, tg_3s =  32.50 t/s
3.21.165.420 I slot print_timing: id  1 | task 4469 | n_gen =   1207, tg =  33.13 t/s, tg_3s =  38.07 t/s
3.24.133.269 I slot print_timing: id  0 | task 4470 | n_gen =   1384, tg =  35.12 t/s, tg_3s =  35.51 t/s
3.24.134.104 I slot print_timing: id  2 | task 4467 | n_gen =   1411, tg =  35.81 t/s, tg_3s =  37.82 t/s
3.24.134.500 I slot print_timing: id  5 | task 4468 | n_gen =   1400, tg =  35.53 t/s, tg_3s =  30.92 t/s
3.24.205.669 I slot print_timing: id  1 | task 4469 | n_gen =   1296, tg =  32.83 t/s, tg_3s =  29.27 t/s
3.27.179.888 I slot print_timing: id  0 | task 4470 | n_gen =   1481, tg =  34.89 t/s, tg_3s =  31.84 t/s
3.27.181.682 I slot print_timing: id  2 | task 4467 | n_gen =   1528, tg =  35.99 t/s, tg_3s =  38.39 t/s
3.27.182.384 I slot print_timing: id  5 | task 4468 | n_gen =   1503, tg =  35.41 t/s, tg_3s =  33.79 t/s
3.27.253.674 I slot print_timing: id  1 | task 4469 | n_gen =   1395, tg =  32.80 t/s, tg_3s =  32.48 t/s
3.30.230.031 I slot print_timing: id  0 | task 4470 | n_gen =   1562, tg =  34.33 t/s, tg_3s =  26.56 t/s
3.30.231.985 I slot print_timing: id  2 | task 4467 | n_gen =   1636, tg =  35.96 t/s, tg_3s =  35.41 t/s
3.30.232.358 I slot print_timing: id  5 | task 4468 | n_gen =   1608, tg =  35.34 t/s, tg_3s =  34.43 t/s
3.30.303.876 I slot print_timing: id  1 | task 4469 | n_gen =   1526, tg =  33.48 t/s, tg_3s =  42.95 t/s
3.33.289.868 I slot print_timing: id  0 | task 4470 | n_gen =   1672, tg =  34.43 t/s, tg_3s =  35.95 t/s
3.33.291.526 I slot print_timing: id  2 | task 4467 | n_gen =   1753, tg =  36.10 t/s, tg_3s =  38.24 t/s
3.33.291.910 I slot print_timing: id  5 | task 4468 | n_gen =   1720, tg =  35.42 t/s, tg_3s =  36.61 t/s
3.33.363.932 I slot print_timing: id  1 | task 4469 | n_gen =   1662, tg =  34.17 t/s, tg_3s =  44.44 t/s
3.36.352.414 I slot print_timing: id  0 | task 4470 | n_gen =   1793, tg =  34.73 t/s, tg_3s =  39.51 t/s
3.36.353.561 I slot print_timing: id  2 | task 4467 | n_gen =   1867, tg =  36.17 t/s, tg_3s =  37.23 t/s
3.36.354.264 I slot print_timing: id  5 | task 4468 | n_gen =   1850, tg =  35.84 t/s, tg_3s =  42.45 t/s
3.36.426.398 I slot print_timing: id  1 | task 4469 | n_gen =   1763, tg =  34.10 t/s, tg_3s =  32.98 t/s
3.39.411.209 I slot print_timing: id  0 | task 4470 | n_gen =   1917, tg =  35.06 t/s, tg_3s =  40.54 t/s
3.39.412.190 I slot print_timing: id  2 | task 4467 | n_gen =   1971, tg =  36.05 t/s, tg_3s =  34.00 t/s
3.39.412.876 I slot print_timing: id  5 | task 4468 | n_gen =   1976, tg =  36.14 t/s, tg_3s =  41.20 t/s
3.39.483.836 I slot print_timing: id  1 | task 4469 | n_gen =   1872, tg =  34.19 t/s, tg_3s =  35.65 t/s
3.42.468.485 I slot print_timing: id  0 | task 4470 | n_gen =   2032, tg =  35.19 t/s, tg_3s =  37.62 t/s
3.42.469.801 I slot print_timing: id  2 | task 4467 | n_gen =   2084, tg =  36.09 t/s, tg_3s =  36.96 t/s
3.42.470.506 I slot print_timing: id  5 | task 4468 | n_gen =   2078, tg =  35.99 t/s, tg_3s =  33.36 t/s
3.42.541.670 I slot print_timing: id  1 | task 4469 | n_gen =   1959, tg =  33.88 t/s, tg_3s =  28.45 t/s
3.45.537.924 I slot print_timing: id  0 | task 4470 | n_gen =   2134, tg =  35.09 t/s, tg_3s =  33.23 t/s
3.45.539.023 I slot print_timing: id  2 | task 4467 | n_gen =   2203, tg =  36.23 t/s, tg_3s =  38.77 t/s
3.45.539.928 I slot print_timing: id  5 | task 4468 | n_gen =   2180, tg =  35.85 t/s, tg_3s =  33.23 t/s
3.45.612.119 I slot print_timing: id  1 | task 4469 | n_gen =   2062, tg =  33.87 t/s, tg_3s =  33.55 t/s
3.48.541.520 I slot print_timing: id  0 | task 4470 | n_gen =   2248, tg =  35.23 t/s, tg_3s =  37.95 t/s
3.48.543.081 I slot print_timing: id  2 | task 4467 | n_gen =   2300, tg =  36.04 t/s, tg_3s =  32.29 t/s
3.48.543.470 I slot print_timing: id  5 | task 4468 | n_gen =   2300, tg =  36.04 t/s, tg_3s =  39.95 t/s
3.48.615.131 I slot print_timing: id  1 | task 4469 | n_gen =   2166, tg =  33.90 t/s, tg_3s =  34.63 t/s
3.51.547.157 I slot print_timing: id  0 | task 4470 | n_gen =   2352, tg =  35.20 t/s, tg_3s =  34.60 t/s
3.51.547.987 I slot print_timing: id  2 | task 4467 | n_gen =   2392, tg =  35.80 t/s, tg_3s =  30.62 t/s
3.51.548.502 I slot print_timing: id  5 | task 4468 | n_gen =   2432, tg =  36.40 t/s, tg_3s =  43.93 t/s
3.51.619.866 I slot print_timing: id  1 | task 4469 | n_gen =   2257, tg =  33.74 t/s, tg_3s =  30.29 t/s
3.54.555.974 I slot print_timing: id  0 | task 4470 | n_gen =   2460, tg =  35.23 t/s, tg_3s =  35.89 t/s
3.54.557.134 I slot print_timing: id  2 | task 4467 | n_gen =   2501, tg =  35.82 t/s, tg_3s =  36.22 t/s
3.54.558.482 I slot print_timing: id  5 | task 4468 | n_gen =   2564, tg =  36.72 t/s, tg_3s =  43.85 t/s
3.54.630.509 I slot print_timing: id  1 | task 4469 | n_gen =   2370, tg =  33.90 t/s, tg_3s =  37.53 t/s
