pos	class	id	byte
0	prompt	248045	0
1	prompt	8678	0
2	prompt	198	6
3	prompt	2	7
4	prompt	13455	8
5	prompt	271	14
6	prompt	2523	16
7	prompt	599	19
8	prompt	2528	24
9	prompt	310	31
10	prompt	279	34
11	prompt	2614	38
12	prompt	5568	48
13	prompt	25	58
14	prompt	271	59
15	prompt	27	61
16	prompt	15449	62
17	prompt	29	67
18	prompt	198	68
19	prompt	4754	69
20	prompt	1267	71
21	prompt	763	75
22	prompt	328	77
23	prompt	1628	79
24	prompt	487	87
25	prompt	328	89
26	prompt	1628	91
27	prompt	763	99
28	prompt	5046	101
29	prompt	591	104
30	prompt	763	108
31	prompt	328	110
32	prompt	16318	112
33	prompt	487	117
34	prompt	328	119
35	prompt	4532	121
36	prompt	763	132
37	prompt	328	134
38	prompt	31010	136
39	prompt	264	142
40	prompt	491	144
41	prompt	8057	148
42	prompt	310	154
43	prompt	3579	157
44	prompt	6150	164
45	prompt	11	172
46	prompt	7072	173
47	prompt	28253	179
48	prompt	8806	184
49	prompt	13	190
50	prompt	8618	191
51	prompt	8057	196
52	prompt	913	202
53	prompt	682	207
54	prompt	3050	211
55	prompt	16432	220
56	prompt	321	233
57	prompt	7141	237
58	prompt	2420	243
59	prompt	310	253
60	prompt	424	256
61	prompt	6889	259
62	prompt	77	261
63	prompt	1639	262
64	prompt	16001	264
65	prompt	8057	273
66	prompt	4346	279
67	prompt	321	285
68	prompt	279	289
69	prompt	7141	293
70	prompt	781	299
71	prompt	599	304
72	prompt	2528	309
73	prompt	310	316
74	prompt	6964	319
75	prompt	77	321
76	prompt	12	322
77	prompt	83712	323
78	prompt	768	327
79	prompt	25	330
80	prompt	20290	331
81	prompt	21650	337
82	prompt	364	341
83	prompt	866	345
84	prompt	3274	349
85	prompt	421	354
86	prompt	3070	359
87	prompt	914	365
88	prompt	4786	367
89	prompt	264	371
90	prompt	777	373
91	prompt	3050	378
92	prompt	8057	387
93	prompt	13	393
94	prompt	42019	394
95	prompt	825	400
96	prompt	579	404
97	prompt	1581	406
98	prompt	948	414
99	prompt	874	419
100	prompt	8057	422
101	prompt	803	428
102	prompt	369	433
103	prompt	30917	436
104	prompt	13	442
105	prompt	318	443
106	prompt	16095	445
107	prompt	25	450
108	prompt	2501	451
109	prompt	59	454
110	prompt	77	455
111	prompt	12	456
112	prompt	42594	457
113	prompt	25	465
114	prompt	4310	466
115	prompt	14934	471
116	prompt	2624	476
117	prompt	8057	483
118	prompt	364	489
119	prompt	6979	493
120	prompt	8145	499
121	prompt	9502	503
122	prompt	25628	507
123	prompt	1892	516
124	prompt	948	520
125	prompt	34579	525
126	prompt	3254	535
127	prompt	39618	541
128	prompt	1599	550
129	prompt	3425	555
130	prompt	11	561
131	prompt	27690	562
132	prompt	11	574
133	prompt	466	575
134	prompt	33791	578
135	prompt	43015	585
136	prompt	321	597
137	prompt	488	601
138	prompt	1132	605
139	prompt	1144	610
140	prompt	279	615
141	prompt	16198	619
142	prompt	11	630
143	prompt	524	631
144	prompt	279	635
145	prompt	999	639
146	prompt	58345	644
147	prompt	13	650
148	prompt	1049	651
149	prompt	15339	654
150	prompt	80513	660
151	prompt	4598	669
152	prompt	1056	676
153	prompt	4220	681
154	prompt	3425	687
155	prompt	11	693
156	prompt	748	694
157	prompt	424	697
158	prompt	1282	700
159	prompt	942	704
160	prompt	1970	708
161	prompt	26	713
162	prompt	424	714
163	prompt	3070	717
164	prompt	914	723
165	prompt	3286	725
166	prompt	466	732
167	prompt	23513	735
168	prompt	424	741
169	prompt	13	744
170	prompt	45816	745
171	prompt	2624	753
172	prompt	55305	760
173	prompt	25	768
174	prompt	7018	769
175	prompt	25252	772
176	prompt	2037	778
177	prompt	364	780
178	prompt	22469	784
179	prompt	25559	793
180	prompt	11	805
181	prompt	7018	806
182	prompt	1164	809
183	prompt	16908	813
184	prompt	2037	822
185	prompt	364	824
186	prompt	5081	828
187	prompt	10155	837
188	prompt	321	847
189	prompt	33791	851
190	prompt	43015	858
191	prompt	13	870
192	prompt	318	871
193	prompt	16095	873
194	prompt	25	878
195	prompt	1942	879
196	prompt	7141	883
197	prompt	3525	889
198	prompt	20086	896
199	prompt	11	902
200	prompt	18422	903
201	prompt	19860	908
202	prompt	3513	912
203	prompt	11	916
204	prompt	8081	917
205	prompt	11	922
206	prompt	9357	923
207	prompt	11	929
208	prompt	66333	930
209	prompt	3900	939
210	prompt	10383	943
211	prompt	77	945
212	prompt	12	946
213	prompt	4437	947
214	prompt	56279	955
215	prompt	25	963
216	prompt	3146	964
217	prompt	56279	972
218	prompt	8057	980
219	prompt	364	986
220	prompt	42675	990
221	prompt	6150	1002
222	prompt	4602	1010
223	prompt	11	1020
224	prompt	14603	1021
225	prompt	364	1031
226	prompt	1970	1035
227	prompt	11	1040
228	prompt	321	1041
229	prompt	29234	1045
230	prompt	7072	1055
231	prompt	28253	1061
